idx,value
700,32
701,-16
702,-72
703,-109
704,-112
705,-85
706,-28
707,19
708,67
709,81
710,60
711,9
712,-43
713,-91
714,-115
715,-103
716,-61
717,-6
718,46
719,79
720,75
721,36
722,-14
723,-67
724,-105
725,-113
726,-87
727,-37
728,18
729,62
730,82
731,58
732,14
733,-39
734,-90
735,-112
736,-104
737,-64
738,-8
739,42
740,77
741,75
742,37
743,-11
744,-63
745,-104
746,-112
747,-90
748,-39
749,14
750,58
751,82
752,63
753,18
754,-33
755,-85
756,-113
757,-104
758,-67
759,-13
760,36
761,76
762,75
763,45
764,-5
765,-61
766,-103
767,-114
768,-92
769,-40
770,10
771,59
772,82
773,67
774,19
775,-29
776,-85
777,-112
778,-109
779,-72
780,-16
781,32
782,75
783,80
784,49
785,-4
786,-58
787,-104
788,-114
789,-96
790,-47
791,6
792,57
793,82
794,68
795,24
796,-27
797,-79
798,-109
799,-109
800,-76
801,-23
802,31
803,70
804,80
805,48
806,-1
807,-54
808,-98
809,-113
810,-96
811,-51
812,4
813,53
814,80
815,68
816,25
817,-24
818,-75
819,-110
820,-109
821,-80
822,-25
823,25
824,68
825,81
826,53
827,4
828,-51
829,-96
830,-113
831,-98
832,-54
833,-1
834,48
835,80
836,74
837,33
838,-20
839,-74
840,-109
841,-112
842,-80
843,-26
844,24
845,68
846,82
847,57
848,7
849,-43
850,-96
851,-113
852,-104
853,-57
854,-4
855,45
856,79
857,75
858,36
859,-17
860,-71
861,-110
862,-112
863,-86
864,-33
865,20
866,67
867,82
868,59
869,11
870,-41
871,-89
872,-112
873,-104
874,-59
875,-8
876,42
877,80
878,75
879,37
880,-15
881,-67
882,-105
883,-112
884,-87
885,-37
886,18
887,62
888,81
889,58
890,13
891,-37
892,-86
893,-113
894,-104
895,-67
896,-10
897,37
898,75
899,76
900,42
901,-8
902,-64
903,-104
904,-113
905,-89
906,-40
907,11
908,59
909,80
910,63
911,21
912,-34
913,-85
914,-112
915,-108
916,-68
917,-14
918,36
919,75
920,79
921,45
922,-4
923,-57
924,-104
925,-113
926,-97
927,-43
928,6
929,57
930,82
931,69
932,23
933,-30
934,-84
935,-113
936,-109
937,-74
938,-20
939,33
940,75
941,80
942,48
943,-1
944,-53
945,-102
946,-114
947,-96
948,-46
949,3
950,55
951,83
952,67
953,24
954,-28
955,-78
956,-110
957,-109
958,-76
959,-23
960,30
961,71
962,79
963,49
964,1
965,-50
966,-96
967,-113
968,-98
969,-54
970,2
971,47
972,80
973,70
974,31
975,-23
976,-76
977,-109
978,-109
979,-79
980,-27
981,23
982,69
983,79
984,55
985,7
986,-47
987,-95
988,-115
989,-101
990,-54
991,-1
992,48
993,80
994,75
995,32
996,-16
997,-72
998,-110
999,-112
1000,-85
1001,-28
1002,19
1003,67
1004,81
1005,60
1006,9
1007,-44
1008,-95
1009,-114
1010,-103
1011,-61
1012,-6
1013,46
1014,79
1015,75
1016,37
1017,-15
1018,-66
1019,-105
1020,-112
1021,-87
1022,-37
1023,21
1024,66
1025,83
1026,58
1027,11
1028,-41
1029,-88
1030,-113
1031,-103
1032,-64
1033,-8
1034,42
1035,77
1036,75
1037,37
1038,-11
1039,-63
1040,-104
1041,-112
1042,-90
1043,-39
1044,14
1045,58
1046,82
1047,62
1048,18
1049,-37
1050,-86
1051,-113
1052,-104
1053,-67
1054,-13
1055,36
1056,76
1057,75
1058,45
1059,-5
1060,-61
1061,-103
1062,-114
1063,-92
1064,-40
1065,11
1066,59
1067,82
1068,67
1069,20
1070,-33
1071,-86
1072,-112
1073,-110
1074,-72
1075,-16
1076,32
1077,75
1078,80
1079,49
1080,-4
1081,-58
1082,-104
1083,-114
1084,-96
1085,-47
1086,6
1087,57
1088,82
1089,69
1090,23
1091,-26
1092,-80
1093,-112
1094,-109
1095,-74
1096,-20
1097,33
1098,74
1099,80
1100,48
1101,-1
1102,-54
1103,-98
1104,-113
1105,-96
1106,-51
1107,4
1108,53
1109,80
1110,68
1111,25
1112,-24
1113,-75
1114,-109
1115,-109
1116,-75
1117,-24
1118,25
1119,68
1120,80
1121,53
1122,4
1123,-51
1124,-96
1125,-113
1126,-98
1127,-54
1128,-1
1129,48
1130,80
1131,71
1132,29
1133,-21
1134,-73
1135,-109
1136,-112
1137,-81
1138,-26
1139,23
1140,69
1141,82
1142,57
1143,6
1144,-47
1145,-96
1146,-114
1147,-104
1148,-58
1149,-4
1150,49
1151,80
1152,75
1153,32
1154,-16
1155,-72
1156,-110
1157,-112
1158,-86
1159,-33
1160,20
1161,67
1162,82
1163,59
1164,10
1165,-40
1166,-92
1167,-114
1168,-103
1169,-61
1170,-6
1171,46
1172,79
1173,75
1174,36
1175,-14
1176,-67
1177,-105
1178,-112
1179,-87
1180,-37
1181,18
1182,62
1183,81
1184,58
1185,13
1186,-37
1187,-87
1188,-113
1189,-103
1190,-64
1191,-11
1192,37
1193,75
1194,76
1195,42
1196,-8
1197,-64
1198,-104
1199,-112
1200,-90
1201,-39
1202,14
1203,58
1204,82
1205,63
1206,17
1207,-33
1208,-85
1209,-113
1210,-108
1211,-68
1212,-14
1213,36
1214,75
1215,79
1216,46
1217,-6
1218,-61
1219,-103
1220,-115
1221,-91
1222,-43
1223,9
1224,60
1225,81
1226,67
1227,19
1228,-28
1229,-85
1230,-112
1231,-109
1232,-72
1233,-16
1234,32
1235,75
1236,79
1237,50
1238,-4
1239,-55
1240,-101
1241,-115
1242,-95
1243,-48
1244,7
1245,57
1246,82
1247,68
1248,24
1249,-27
1250,-79
1251,-109
1252,-109
1253,-76
1254,-23
1255,31
1256,70
1257,80
1258,48
1259,2
1260,-54
1261,-98
1262,-113
1263,-96
1264,-50
1265,0
1266,49
1267,79
1268,71
1269,27
1270,-25
1271,-75
1272,-110
1273,-109
1274,-80
1275,-24
1276,25
1277,68
1278,80
1279,53
1280,4
1281,-47
1282,-95
1283,-114
1284,-97
1285,-54
1286,-1
1287,48
1288,80
1289,74
1290,33
1291,-20
1292,-74
1293,-109
1294,-112
