phase_down,expected_hz,measured_mean_hz,rectangular_model_hz,hann_model_hz
10323406,1001.507043838501,1001.2465957446808,1000.9828963937813,1001.2492059691307
10323407,1000.5384683609009,1000.7545060240964,1000.9729094277121,1000.7533170758786
10323408,999.5698928833008,1000.1198227848101,1000.8223157470444,1000.1190728473829
10323409,998.6013174057007,998.7031847826087,999.056875751145,998.7095559409374
10323410,997.6327419281006,997.0661216216216,996.3110950102422,997.0719630349229
10323411,996.6641664505005,996.3850512820512,996.1016836197638,996.3881557639999
10323412,995.6955909729004,995.8938055555556,996.091011997935,995.8914985198479
