file,segment,fft_n,record,nominal_elapsed_s,selected,valid,bb_hz,dticks,peak,y1,y2,y3,den
test1/10323406.txt,1,2048,62,61.29280000000008,True,True,1001.246,10048,205,65309,366089,125045,-541824
test1/10323406.txt,1,2048,63,62.29760000000008,True,True,1001.254,10048,205,64994,366665,126481,-541855
test1/10323406.txt,1,2048,64,63.302400000000084,True,True,1001.244,10048,205,64826,366050,124337,-542937
test1/10323406.txt,1,2048,65,64.30720000000008,True,True,1001.236,10048,205,66265,367625,124249,-544736
test1/10323406.txt,1,2048,66,65.31200000000008,True,True,1001.241,10048,205,66065,367952,124993,-544846
test1/10323406.txt,1,2048,67,66.31680000000009,True,True,1001.253,10048,205,64985,366692,126410,-541989
test1/10323406.txt,1,2048,68,67.32160000000009,True,True,1001.252,10048,205,64872,364225,125645,-537933
test1/10323406.txt,1,2048,69,68.32640000000009,True,True,1001.249,10048,205,65105,366041,125540,-541437
test1/10323406.txt,1,2048,70,69.3312000000001,True,True,1001.245,10048,205,66113,365072,125397,-538634
test1/10323406.txt,1,2048,71,70.3360000000001,True,True,1001.248,10048,205,64489,367585,125245,-545436
test1/10323406.txt,1,2048,72,71.3408000000001,True,True,1001.245,10048,205,64532,368177,124802,-547020
test1/10323406.txt,1,2048,73,72.3456000000001,True,True,1001.246,10048,205,65105,366277,125065,-542384
test1/10323406.txt,1,2048,74,73.3504000000001,True,True,1001.246,10048,205,64873,367225,124901,-544676
test1/10323406.txt,1,2048,75,74.35520000000011,True,True,1001.248,10048,205,65026,365524,125109,-540913
test1/10323406.txt,1,2048,76,75.36000000000011,True,True,1001.251,10048,205,64969,366581,126032,-542161
test1/10323406.txt,1,2048,77,76.36480000000012,True,True,1001.244,10048,205,64936,366397,124394,-543464
test1/10323406.txt,1,2048,78,77.36960000000012,True,True,1001.243,10048,205,65365,365392,124381,-541038
test1/10323406.txt,1,2048,79,78.37440000000012,True,True,1001.25,10048,205,64685,366125,125425,-542140
test1/10323406.txt,1,2048,80,79.37920000000013,True,True,1001.246,10048,205,65437,367748,125456,-544603
test1/10323406.txt,1,2048,81,80.38400000000013,True,True,1001.253,10048,205,64585,365306,125765,-540262
test1/10323406.txt,1,2048,82,81.38880000000013,True,True,1001.248,10048,205,65005,365810,125141,-541474
test1/10323406.txt,1,2048,83,82.39360000000013,True,True,1001.246,10048,205,65545,366106,125332,-541335
test1/10323406.txt,1,2048,84,83.39840000000014,True,True,1001.246,10048,205,64996,366197,124865,-542533
test1/10323406.txt,1,2048,85,84.40320000000014,True,True,1001.251,10048,205,64420,367625,125648,-545182
test1/10323406.txt,1,2048,86,85.40800000000014,True,True,1001.245,10048,205,65509,365393,124945,-540332
test1/10323406.txt,1,2048,87,86.41280000000015,True,True,1001.246,10048,205,64660,366400,124616,-543524
test1/10323406.txt,1,2048,88,87.41760000000015,True,True,1001.247,10048,205,64985,366521,125060,-542997
test1/10323406.txt,1,2048,89,88.42240000000015,True,True,1001.246,10048,205,65680,366601,125450,-542072
test1/10323406.txt,1,2048,90,89.42720000000016,True,True,1001.25,10048,205,65168,366129,125890,-541200
test1/10323406.txt,1,2048,91,90.43200000000016,True,True,1001.249,10048,205,64978,368244,125905,-545605
test1/10323406.txt,1,2048,92,91.43680000000016,True,True,1001.252,10048,205,64793,364624,125585,-538870
test1/10323406.txt,1,2048,93,92.44160000000016,True,True,1001.244,10048,205,64985,365137,124240,-541049
test1/10323406.txt,1,2048,94,93.44640000000017,True,True,1001.246,10048,205,65381,367520,125392,-544267
test1/10323406.txt,1,2048,95,94.45120000000017,True,True,1001.241,10048,205,65402,365881,124117,-542243
test1/10323406.txt,1,2048,96,95.45600000000017,True,True,1001.245,10048,205,65536,363613,124609,-537081
test1/10323406.txt,1,2048,97,96.46080000000018,True,True,1001.237,10048,205,65881,365300,123617,-541102
test1/10323406.txt,1,2048,98,97.46560000000018,True,True,1001.245,10048,205,65042,367025,124921,-544087
test1/10323406.txt,1,2048,99,98.47040000000018,True,True,1001.244,10048,205,65476,365696,124865,-541051
test1/10323406.txt,1,2048,100,99.47520000000019,True,True,1001.241,10048,205,65986,367588,124882,-544308
test1/10323406.txt,1,2048,101,100.48000000000019,True,True,1001.245,10048,205,63625,367060,123850,-546645
test1/10323407.txt,1,2048,1,0,False,True,1001.253,254567,205,64706,366340,126068,-541906
test1/10323407.txt,1,2048,2,1.0048,False,True,1001.256,10048,205,65416,364968,127025,-537495
test1/10323407.txt,1,2048,3,2.0096,False,True,1001.241,10048,205,65601,365625,124210,-541439
test1/10323407.txt,1,2048,4,3.0143999999999997,False,True,1001.245,10048,205,64970,365776,124525,-542057
test1/10323407.txt,1,2048,5,4.0192,False,True,1001.252,10048,205,65025,366881,126193,-542544
test1/10323407.txt,1,2048,6,5.023999999999999,False,True,1001.249,10048,205,65138,366340,125648,-541894
test1/10323407.txt,1,2048,7,6.028799999999999,False,True,1001.242,10048,205,65633,365949,124525,-541740
test1/10323407.txt,1,2048,8,7.033599999999998,True,True,1000.758,10048,205,119332,367610,70181,-545707
