idx,value
775,-1
776,7
777,15
778,19
779,12
780,2
781,-1
782,2
783,12
784,17
785,16
786,8
787,0
788,0
789,7
790,15
791,17
792,12
793,3
794,0
795,2
796,12
797,17
798,15
799,8
800,0
801,0
802,7
803,15
804,17
805,12
806,4
807,-1
808,3
809,12
810,18
811,16
812,6
813,0
814,0
815,6
816,15
817,18
818,12
819,3
820,-1
821,2
822,11
823,17
824,15
825,7
826,0
827,-1
828,8
829,15
830,18
831,12
832,2
833,0
834,3
835,12
836,18
837,16
838,6
839,0
840,0
841,7
842,16
843,18
844,11
845,3
846,-1
847,2
848,12
849,18
850,16
851,7
852,1
853,-2
854,8
855,16
856,18
857,12
858,3
859,-1
860,3
861,12
862,17
863,16
864,8
865,0
866,0
867,7
868,15
869,18
870,12
871,3
872,0
873,2
874,11
875,17
876,16
877,8
878,0
879,-1
880,8
881,15
882,17
883,11
884,3
885,0
886,3
887,12
888,18
889,15
890,7
891,0
892,1
893,6
894,15
895,17
896,12
897,3
898,-1
899,3
900,12
901,18
902,15
903,7
904,0
905,0
906,7
907,16
908,17
909,12
910,2
911,-1
912,3
913,11
914,17
915,16
916,6
917,0
918,-1
919,8
920,15
921,18
922,11
923,3
924,-1
925,3
926,11
927,18
928,16
929,7
930,1
931,0
932,7
933,15
934,18
935,12
936,2
937,-1
938,2
939,13
940,18
941,16
942,7
943,0
944,-1
945,7
946,16
947,18
948,11
949,3
950,-2
951,3
952,11
953,18
954,16
955,7
956,0
957,0
958,8
959,16
960,18
961,11
962,2
963,-1
964,3
965,12
966,18
967,15
968,8
969,0
970,1
971,8
972,15
973,18
974,12
975,3
976,-2
977,3
978,13
979,18
980,16
981,7
982,-1
983,0
984,8
985,17
986,17
987,11
988,2
989,-2
990,4
991,12
992,18
993,15
994,5
995,0
996,0
997,8
998,15
999,17
1000,10
1001,4
1002,-1
1003,4
1004,12
1005,18
1006,15
1007,7
1008,0
1009,0
1010,8
1011,16
1012,17
1013,11
1014,2
1015,-2
1016,4
1017,11
1018,18
1019,14
1020,6
1021,0
1022,0
1023,8
1024,16
1025,17
1026,11
1027,1
1028,-1
1029,4
1030,12
1031,18
1032,16
1033,6
1034,-1
1035,1
1036,8
1037,15
1038,17
1039,11
1040,3
1041,-1
1042,3
1043,12
1044,18
1045,14
1046,6
1047,0
1048,1
1049,8
1050,16
1051,17
1052,11
1053,3
1054,-2
1055,3
1056,12
1057,19
1058,15
1059,6
1060,-1
1061,0
1062,8
1063,16
1064,18
1065,12
1066,2
1067,0
1068,4
1069,12
1070,17
1071,15
1072,6
1073,-1
1074,0
1075,9
1076,16
1077,18
1078,12
1079,3
1080,-1
1081,3
1082,12
1083,19
1084,15
1085,7
1086,-1
1087,0
1088,7
1089,16
1090,17
1091,11
1092,2
1093,-1
1094,4
1095,12
1096,18
1097,16
1098,5
1099,0
1100,1
1101,9
1102,17
1103,18
1104,10
1105,3
1106,-1
1107,3
1108,12
1109,18
1110,15
1111,5
1112,0
1113,0
1114,8
1115,16
1116,18
1117,12
1118,2
1119,-1
1120,4
1121,12
1122,18
1123,16
1124,6
1125,0
1126,0
1127,8
1128,16
1129,17
1130,11
1131,2
1132,-1
1133,4
1134,12
1135,18
1136,15
1137,6
1138,-1
1139,1
1140,8
1141,16
1142,17
1143,11
1144,2
1145,-2
1146,4
1147,13
1148,18
1149,15
1150,7
1151,-1
1152,0
1153,8
1154,16
1155,17
1156,11
1157,3
1158,-1
1159,4
1160,12
1161,17
1162,13
1163,6
1164,0
1165,0
1166,8
1167,16
1168,18
1169,10
1170,2
1171,-1
1172,5
1173,14
1174,17
1175,15
1176,6
1177,0
1178,1
1179,8
1180,16
1181,17
1182,11
1183,2
1184,-1
1185,4
1186,12
1187,17
1188,15
1189,6
1190,-1
1191,0
1192,9
1193,16
1194,16
1195,11
1196,2
1197,-2
1198,4
1199,12
1200,19
1201,15
1202,6
1203,-1
1204,1
1205,9
1206,16
1207,18
1208,11
1209,1
1210,-2
1211,4
1212,13
1213,18
1214,15
1215,6
1216,-1
1217,0
1218,8
1219,16
1220,18
1221,10
1222,2
1223,-2
1224,4
1225,14
1226,18
1227,15
1228,6
1229,-1
1230,0
1231,8
1232,16
1233,17
1234,10
1235,1
1236,-1
1237,5
1238,13
1239,18
1240,14
1241,5
1242,-2
1243,1
1244,9
1245,16
1246,17
1247,10
1248,2
1249,-2
1250,4
1251,13
1252,17
1253,15
1254,6
1255,-1
1256,0
1257,9
1258,17
1259,17
1260,10
1261,2
1262,0
1263,4
1264,12
1265,18
1266,14
1267,5
1268,-1
1269,0
1270,9
1271,17
1272,18
1273,11
1274,2
1275,-1
1276,4
1277,13
1278,17
1279,15
1280,7
1281,-1
1282,1
1283,9
1284,16
1285,17
1286,10
1287,1
1288,-2
1289,4
1290,13
1291,18
1292,14
1293,6
1294,-1
1295,1
1296,9
1297,16
1298,17
1299,10
1300,2
1301,-2
1302,3
1303,13
1304,17
1305,15
1306,5
1307,-1
1308,1
1309,8
1310,17
1311,18
1312,10
1313,2
1314,-1
1315,4
1316,13
1317,18
1318,14
1319,6
1320,-1
1321,1
1322,9
1323,16
1324,17
1325,10
1326,2
1327,-1
1328,4
1329,12
1330,18
1331,14
1332,6
1333,-1
1334,0
1335,8
1336,16
1337,17
1338,10
1339,1
1340,-1
1341,4
1342,14
1343,17
1344,14
1345,6
1346,-1
1347,1
1348,9
1349,17
1350,17
1351,10
1352,1
1353,-1
1354,4
1355,13
1356,18
1357,15
1358,6
1359,-1
1360,1
1361,8
1362,16
1363,18
1364,9
1365,2
1366,-1
1367,5
1368,13
1369,19
1370,14
1371,6
1372,-1
1373,0
1374,8
1375,16
1376,17
1377,9
1378,1
1379,0
1380,6
1381,13
1382,18
1383,14
1384,5
1385,-1
1386,1
1387,8
1388,17
1389,17
1390,10
1391,1
1392,0
1393,5
1394,14
1395,18
1396,14
1397,6
1398,-1
1399,2
1400,9
1401,17
1402,17
1403,11
1404,1
1405,-1
1406,4
1407,13
1408,18
1409,14
1410,5
1411,-1
1412,1
1413,9
1414,16
1415,17
1416,9
1417,2
1418,-1
1419,5
1420,13
1421,18
1422,14
1423,5
1424,-1
1425,1
1426,9
1427,18
1428,17
1429,10
1430,1
1431,-2
1432,5
1433,13
1434,18
1435,14
1436,5
1437,-1
1438,1
1439,9
1440,17
1441,18
1442,10
1443,2
1444,-1
1445,4
1446,14
1447,18
1448,14
1449,5
1450,0
1451,1
1452,9
1453,17
1454,17
1455,9
1456,1
1457,-1
1458,4
1459,14
1460,18
1461,14
1462,4
1463,-1
1464,1
1465,9
1466,17
1467,17
1468,10
1469,1
1470,-1
1471,5
1472,13
1473,17
1474,15
1475,5
1476,0
1477,1
1478,9
1479,17
1480,17
1481,10
1482,1
1483,-1
1484,5
1485,14
1486,17
1487,14
1488,5
1489,0
1490,1
1491,9
1492,16
1493,17
1494,10
1495,0
1496,-1
1497,5
1498,13
1499,18
1500,14
1501,5
1502,-1
1503,1
1504,10
1505,17
1506,17
1507,10
1508,1
1509,-1
1510,5
1511,13
1512,18
1513,15
1514,6
1515,-2
1516,1
1517,9
1518,17
1519,17
1520,9
1521,1
1522,-2
1523,5
1524,14
1525,17
1526,13
1527,5
1528,-1
1529,1
1530,9
1531,17
1532,18
1533,10
1534,1
1535,-1
1536,4
