0	254
1	160
2	64
3	-34
4	-130
5	-224
6	-318
7	-408
8	-494
9	-576
10	-652
11	-722
12	-786
13	-842
14	-890
15	-930
16	-984
17	-998
18	-1000
19	-996
20	-980
21	-958
22	-926
23	-884
24	-834
25	-776
26	-710
27	-642
28	-562
29	-480
30	-392
31	-304
32	-112
33	-16
34	80
35	176
36	270
37	360
38	450
39	534
40	614
41	686
42	754
43	814
44	864
45	910
46	946
47	972
48	998
49	996
50	986
51	968
52	940
53	902
54	856
55	802
56	742
57	676
58	600
59	520
60	436
61	346
62	254
63	160
64	-34
65	-130
66	-224
67	-318
68	-408
69	-494
70	-576
71	-652
72	-722
73	-786
74	-842
75	-890
76	-930
77	-962
78	-984
79	-998
80	-996
81	-980
82	-958
83	-926
84	-884
85	-832
86	-776
87	-710
88	-642
89	-562
90	-480
91	-392
92	-304
93	-208
94	-112
95	-16
96	174
97	270
98	360
99	450
100	534
101	612
102	686
103	754
104	814
105	864
106	910
107	946
108	972
109	988
110	998
111	996
112	968
113	940
114	902
115	856
116	802
117	742
118	674
119	600
120	520
121	436
122	346
123	254
124	160
125	64
126	-34
127	-130
