index,value
695,996
696,996
697,996
698,996
699,998
700,1000
701,1000
702,998
703,998
704,998
705,996
706,996
707,996
708,994
709,992
710,990
711,988
712,984
713,984
714,982
715,980
716,974
717,972
718,968
719,966
720,960
721,958
722,952
723,948
724,944
725,940
726,934
727,930
728,924
729,920
730,912
731,908
732,900
733,896
734,886
735,882
736,872
737,868
738,858
739,852
740,844
741,838
742,826
743,822
744,810
745,804
746,794
747,790
748,776
749,770
750,756
751,752
752,738
753,730
754,718
755,712
756,698
757,692
758,678
759,670
760,656
761,648
762,634
763,628
764,612
765,604
766,588
767,582
768,566
769,558
770,542
771,534
772,518
773,510
774,492
775,484
776,466
777,460
778,440
779,432
780,414
781,406
782,388
783,380
784,364
785,352
786,336
787,326
788,308
789,300
790,280
791,272
792,254
793,242
794,226
795,216
796,196
797,188
798,170
799,160
800,142
801,132
802,112
803,102
804,84
805,72
806,54
807,46
808,26
809,16
810,-2
811,-14
812,-32
813,-42
814,-62
815,-70
816,-88
817,-98
818,-118
819,-128
820,-146
821,-156
822,-174
823,-184
824,-202
825,-212
826,-232
827,-242
828,-258
829,-268
830,-286
831,-296
832,-314
833,-324
834,-342
835,-350
836,-368
837,-378
838,-394
839,-402
840,-420
841,-430
842,-446
843,-456
844,-474
845,-482
846,-498
847,-506
848,-524
849,-530
850,-548
851,-554
852,-572
853,-580
854,-594
855,-602
856,-618
857,-624
858,-640
859,-646
860,-660
861,-670
862,-682
863,-690
864,-704
865,-710
866,-724
867,-730
868,-742
869,-750
870,-762
871,-768
872,-780
873,-786
874,-798
875,-804
876,-816
877,-820
878,-832
879,-838
880,-846
881,-852
882,-862
883,-866
884,-876
885,-880
886,-890
887,-894
888,-902
889,-906
890,-914
891,-918
892,-926
893,-930
894,-938
895,-938
896,-946
897,-950
898,-956
899,-958
900,-964
901,-966
902,-970
903,-974
904,-978
905,-980
906,-984
907,-986
908,-988
909,-990
910,-992
911,-994
912,-996
913,-998
914,-998
915,-998
916,-1000
917,-1000
918,-1000
919,-1000
920,-1000
921,-1000
922,-1000
923,-1000
924,-998
925,-998
926,-996
927,-996
928,-992
929,-992
930,-990
931,-986
932,-984
933,-982
934,-978
935,-976
936,-972
937,-970
938,-964
939,-962
940,-956
941,-952
942,-948
943,-944
944,-94
945,-104
946,-124
947,-134
948,-152
949,-162
950,-180
951,-190
952,-208
953,-220
954,-236
955,-246
956,-266
957,-274
958,-292
959,-302
960,-832
961,-828
962,-816
963,-812
964,-798
965,-794
966,-780
967,-776
968,-764
969,-758
970,-744
971,-738
972,-726
973,-718
974,-706
975,-698
976,-528
977,-536
978,-550
979,-560
980,-576
981,-584
982,-598
983,-606
984,-622
985,-630
986,-644
987,-650
988,-666
989,-672
990,-686
991,-694
992,-500
993,-492
994,-474
995,-466
996,-448
997,-440
998,-424
999,-414
1000,-396
1001,-390
1002,-370
1003,-362
1004,-344
1005,-334
1006,-318
1007,-306
1008,-290
1009,-280
1010,-262
1011,-252
1012,-232
1013,-224
1014,-206
1015,-196
1016,-178
1017,-168
1018,-148
1019,-140
1020,-120
1021,-110
1022,-92
1023,-82
1024,-62
1025,-52
1026,-34
1027,-26
1028,-4
1029,4
1030,24
1031,32
1032,52
1033,62
1034,82
1035,90
1036,108
1037,120
1038,138
1039,146
1040,168
1041,176
1042,194
1043,206
1044,222
1045,232
1046,250
1047,260
1048,278
1049,288
1050,304
1051,316
1052,334
1053,342
1054,362
1055,370
1056,388
1057,396
1058,412
1059,424
1060,440
1061,448
1062,464
1063,474
1064,490
1065,498
1066,514
1067,522
1068,538
1069,546
1070,562
1071,570
1072,586
1073,594
1074,610
1075,618
1076,632
1077,642
1078,656
1079,660
1080,676
1081,682
1082,696
1083,704
1084,716
1085,724
1086,738
1087,744
1088,-828
1089,-824
1090,-812
1091,-808
1092,-796
1093,-792
1094,-780
1095,-772
1096,-760
1097,-756
1098,-740
1099,-734
1100,-720
1101,-714
1102,-700
1103,-694
1104,886
1105,888
1106,898
1107,902
1108,910
1109,912
1110,922
1111,924
1112,934
1113,936
1114,942
1115,946
1116,950
1117,954
1118,960
1119,962
1120,-494
1121,-486
1122,-470
1123,-460
1124,-444
1125,-436
1126,-418
1127,-410
1128,-392
1129,-384
1130,-366
1131,-356
1132,-338
1133,-330
1134,-310
1135,-302
1136,998
1137,1000
1138,998
1139,998
1140,998
1141,998
1142,996
1143,996
1144,996
1145,994
1146,992
1147,990
1148,988
1149,986
1150,984
1151,982
1152,-58
1153,-48
1154,-28
1155,-18
1156,0
1157,10
1158,28
1159,38
1160,58
1161,68
1162,86
1163,96
1164,116
1165,124
1166,144
1167,154
1168,904
1169,900
1170,892
1171,886
1172,878
1173,874
1174,864
1175,860
1176,850
1177,844
1178,836
1179,828
1180,818
1181,814
1182,802
1183,796
1184,784
1185,778
1186,766
1187,760
1188,746
1189,740
1190,728
1191,720
1192,706
1193,702
1194,686
1195,680
1196,666
1197,658
1198,644
1199,638
1200,622
1201,614
1202,598
1203,592
1204,576
1205,568
1206,552
1207,546
1208,528
1209,520
1210,504
1211,496
1212,478
1213,470
1214,452
1215,444
1216,758
1217,766
1218,778
1219,784
1220,796
1221,802
1222,812
1223,818
1224,830
1225,834
1226,844
1227,850
1228,860
1229,864
1230,874
1231,878
1232,208
1233,200
1234,182
1235,172
1236,154
1237,144
1238,124
1239,116
1240,96
1241,86
1242,68
1243,58
1244,38
1245,30
1246,10
1247,0
1248,968
1249,972
1250,974
1251,978
1252,982
1253,984
1254,986
1255,986
1256,990
1257,992
1258,994
1259,996
1260,996
1261,996
1262,996
1263,998
1264,996
1265,998
1266,998
1267,998
1268,998
1269,998
1270,996
1271,996
1272,994
1273,994
1274,990
1275,990
1276,986
1277,984
1278,982
1279,982
1280,976
1281,974
1282,970
1283,968
1284,962
1285,960
1286,954
1287,952
1288,946
1289,944
1290,936
1291,932
1292,924
1293,922
1294,914
1295,912
1296,902
1297,900
1298,888
1299,886
1300,874
1301,872
1302,862
1303,856
1304,848
1305,842
1306,830
1307,826
1308,814
1309,810
1310,798
1311,792
1312,780
1313,776
1314,762
1315,754
1316,742
1317,736
1318,724
1319,716
1320,704
1321,696
1322,682
1323,676
1324,662
1325,656
1326,640
1327,632
1328,-922
1329,-926
1330,-932
1331,-936
1332,-942
1333,-946
1334,-950
1335,-954
1336,-960
1337,-962
1338,-968
1339,-970
1340,-974
1341,-976
1342,-982
1343,-984
1344,422
1345,412
1346,396
1347,388
1348,368
1349,360
1350,342
1351,332
1352,316
1353,306
1354,288
1355,278
1356,260
1357,252
1358,232
1359,222
1360,-998
1361,-998
1362,-996
1363,-996
1364,-994
1365,-992
1366,-990
1367,-988
1368,-986
1369,-984
1370,-980
1371,-978
1372,-974
1373,-974
1374,-968
1375,-964
1376,-26
1377,-36
1378,-52
1379,-62
1380,-82
1381,-92
1382,-110
1383,-122
1384,-138
1385,-148
1386,-168
1387,-176
1388,-196
1389,-206
1390,-224
1391,-234
1392,-252
1393,-260
1394,-280
1395,-290
1396,-306
1397,-318
1398,-334
1399,-342
1400,-362
1401,-370
1402,-388
1403,-398
1404,-414
1405,-424
1406,-440
1407,-450
1408,-466
1409,-476
1410,-492
1411,-500
1412,-516
1413,-524
1414,-540
1415,-548
1416,-564
1417,-572
1418,-588
1419,-596
1420,-610
1421,-620
1422,-634
1423,-642
1424,-560
1425,-552
1426,-536
1427,-526
1428,-512
1429,-502
1430,-486
1431,-478
1432,-460
1433,-452
1434,-436
1435,-426
1436,-410
1437,-400
1438,-382
1439,-374
1440,-354
1441,-346
1442,-330
1443,-320
1444,-300
1445,-292
1446,-274
1447,-266
1448,-244
1449,-236
1450,-218
1451,-208
1452,-190
1453,-180
1454,-160
1455,-152
1456,-134
1457,-124
1458,-104
1459,-96
1460,-74
1461,-64
1462,-48
1463,-38
1464,-18
1465,-8
1466,10
1467,20
1468,38
1469,48
1470,68
1471,78
1472,96
1473,106
1474,124
1475,134
1476,154
1477,162
1478,182
1479,192
1480,210
1481,218
1482,240
1483,246
1484,266
1485,276
1486,292
1487,304
1488,320
1489,330
1490,350
1491,358
1492,376
1493,384
1494,400
1495,412
1496,428
1497,436
1498,452
1499,462
1500,478
1501,486
1502,504
1503,510
1504,528
1505,536
1506,552
1507,560
1508,576
