# idx,x,y
0,785,1232
1,-3423,-5299
2,-6346,-9839
3,-6896,-10696
4,-4869,-7550
5,-1017,-1560
6,3209,4996
7,6217,9666
8,6875,10697
9,4940,7686
10,1140,1779
11,-3102,-4805
12,-6191,-9590
13,-6954,-10783
14,-5125,-7946
15,-1368,-2111
16,2889,4497
17,6051,9406
18,6918,10761
19,5186,8074
20,1491,2327
21,-2778,-4304
22,-6013,-9318
23,-6992,-10844
24,-5357,-8307
25,-1719,-2654
26,2559,3986
27,5860,9115
28,6953,10808
29,5415,8436
30,1841,2870
31,-2447,-3781
32,-5815,-9020
33,-7011,-10870
34,-5586,-8658
35,-2064,-3194
36,2223,3459
37,5661,8808
38,6959,10825
39,5638,8769
40,2179,3402
41,-2105,-3252
42,-5605,-8694
43,-7013,-10877
44,-5796,-8985
45,-2405,-3726
46,1874,2929
47,5443,8467
48,6951,10812
49,5839,9091
50,2519,3929
51,-1754,-2722
52,-5387,-8346
53,-6994,-10845
54,-5994,-9291
55,-2742,-4241
56,1524,2389
57,5217,8111
58,6924,10765
59,6029,9377
60,2850,4443
61,-1408,-2171
62,-5149,-7978
63,-6956,-10790
64,-6168,-9566
65,-3070,-4748
66,1174,1841
67,4969,7729
68,6879,10700
69,6203,9642
70,3177,4943
71,-1055,-1625
72,-4893,-7589
73,-6904,-10709
74,-6333,-9814
75,-3393,-5249
76,819,1288
77,4715,7335
78,6819,10605
79,6352,9878
80,3489,5437
81,-698,-1072
82,-4634,-7183
83,-6829,-10600
84,-6482,-10046
85,-3697,-5728
86,463,734
87,4439,6910
88,6736,10478
89,6489,10097
90,3793,5909
91,-338,-510
92,-4360,-6750
93,-6737,-10458
94,-6606,-10243
95,-4003,-6190
96,102,175
97,4158,6475
98,6639,10325
99,6611,10286
100,4086,6368
101,19,41
102,-4066,-6304
103,-6639,-10291
104,-6718,-10419
105,-4291,-6646
106,-249,-382
107,3867,6021
108,6519,10142
109,6716,10443
110,4372,6812
111,380,600
112,-3771,-5842
113,-6510,-10092
114,-6812,-10564
115,-4568,-7079
116,-612,-939
117,3563,5548
118,6391,9935
119,6796,10576
120,4654,7234
121,736,1162
122,-3459,-5363
123,-6363,-9871
124,-6890,-10686
125,-4839,-7498
126,-967,-1491
127,3250,5062
128,6238,9701
129,6865,10680
130,4913,7637
131,1093,1707
132,-3147,-4865
133,-6208,-9625
134,-6947,-10773
135,-5089,-7894
136,-1328,-2048
137,2925,4563
138,6067,9442
139,6915,10760
140,5158,8024
141,1450,2260
142,-2815,-4364
143,-6033,-9354
144,-6990,-10838
145,-5332,-8266
146,-1676,-2592
147,2595,4051
148,5888,9152
149,6946,10800
150,5389,8391
151,1792,2806
152,-2487,-3847
153,-5846,-9058
154,-7008,-10870
155,-5555,-8619
156,-2023,-3124
157,2258,3525
158,5686,8850
159,6960,10821
160,5611,8726
161,2139,3334
162,-2145,-3317
163,-5635,-8741
164,-7013,-10878
165,-5771,-8948
166,-2366,-3659
167,1918,2995
168,5472,8514
169,6953,10816
170,5816,9048
171,2477,3863
172,-1802,-2784
173,-5411,-8396
174,-6996,-10851
175,-5966,-9250
176,-2695,-4184
177,1571,2456
178,5247,8157
179,6926,10776
180,6006,9337
181,2813,4382
182,-1449,-2240
183,-5174,-8027
184,-6964,-10797
185,-6149,-9529
186,-3031,-4689
187,1221,1908
188,5001,7779
189,6883,10708
190,6179,9609
191,3136,4881
192,-1098,-1691
193,-4928,-7640
194,-6915,-10719
195,-6314,-9783
196,-3348,-5187
197,867,1357
198,4743,7384
199,6827,10618
200,6336,9853
201,3448,5373
202,-745,-1137
203,-4668,-7231
204,-6846,-10613
205,-6460,-10018
206,-3659,-5673
207,507,801
208,4475,6967
209,6744,10493
210,6478,10074
211,3760,5851
212,-382,-578
213,-4394,-6806
214,-6751,-10476
215,-6593,-10225
216,-3962,-6138
217,150,247
218,4193,6532
219,6652,10343
220,6596,10262
221,4056,6311
222,-25,-22
223,-4107,-6362
224,-6649,-10307
225,-6705,-10397
226,-4252,-6595
227,-212,-308
228,3900,6076
229,6537,10163
230,6700,10426
231,4342,6757
232,335,533
233,-3805,-5896
234,-6527,-10118
235,-6807,-10550
236,-4534,-7029
237,-571,-872
238,3603,5608
239,6405,9960
240,6789,10559
241,4611,7179
242,686,1095
243,-3505,-5424
244,-6383,-9900
245,-6880,-10667
246,-4804,-7445
247,-930,-1421
248,3291,5124
249,6257,9728
250,6857,10673
251,4881,7590
252,1047,1643
253,-3185,-4932
254,-6229,-9661
255,-6942,-10762
256,-5060,-7842
257,-1277,-1972
258,2969,4622
259,6088,9471
260,6907,10747
261,5129,7977
262,1401,2194
263,-2860,-4426
