idx,value
704,653
705,224
706,-294
707,-732
708,-893
709,-719
710,-297
711,239
712,678
713,833
714,653
715,223
716,-316
717,-751
718,-904
719,-726
720,-274
721,262
722,695
723,841
724,658
725,213
726,-335
727,-763
728,-908
729,-727
730,-270
731,274
732,699
733,843
734,656
735,202
736,-336
737,-767
738,-910
739,-715
740,-266
741,283
742,705
743,838
744,655
745,200
746,-339
747,-762
748,-903
749,-713
750,-264
751,272
752,691
753,832
754,635
755,197
756,-341
757,-754
758,-890
759,-698
760,-255
761,270
762,679
763,817
764,622
765,187
766,-332
767,-729
768,-858
769,-678
770,-242
771,261
772,649
773,789
774,603
775,185
776,-316
777,-707
778,-831
779,-650
780,-235
781,249
782,623
783,746
784,571
785,170
786,-303
787,-672
788,-790
789,-623
790,-236
791,234
792,586
793,708
794,538
795,160
796,-285
797,-633
798,-744
799,-579
800,-217
801,210
802,540
803,647
804,496
805,155
806,-265
807,-576
808,-687
809,-539
810,-204
811,195
812,496
813,590
814,456
815,135
816,-240
817,-525
818,-621
819,-493
820,-183
821,162
822,437
823,528
824,398
825,123
826,-220
827,-483
828,-565
829,-440
830,-175
831,141
832,380
833,470
834,361
835,107
836,-192
837,-421
838,-499
839,-399
840,-160
841,111
842,322
843,403
844,308
845,90
846,-161
847,-361
848,-427
849,-353
850,-152
851,81
852,262
853,332
854,261
855,85
856,-124
857,-291
858,-364
859,-296
860,-146
861,56
862,193
863,259
864,202
865,71
866,-88
867,-226
868,-278
869,-244
870,-123
871,24
872,134
873,184
874,147
875,50
876,-70
877,-163
878,-210
879,-178
880,-99
881,-4
882,84
883,107
884,95
885,24
886,-42
887,-112
888,-129
889,-124
890,-91
891,-29
892,21
893,35
894,33
895,15
896,-23
897,-52
898,-62
899,-63
900,-59
901,-48
902,-40
903,-31
904,-14
905,3
906,0
907,0
908,3
909,-20
910,-49
911,-69
912,-97
913,-91
914,-64
915,-25
916,18
917,48
918,48
919,24
920,-29
921,-95
922,-134
923,-137
924,-108
925,-36
926,40
927,90
928,102
929,67
930,-17
931,-113
932,-173
933,-194
934,-142
935,-48
936,50
937,119
938,137
939,91
940,-5
941,-127
942,-212
943,-224
944,-176
