#idx,value
722,21
723,-15
724,-31
725,-13
726,23
727,47
728,38
729,2
730,-27
731,-26
732,4
733,38
734,46
735,21
736,-15
737,-31
738,-12
739,24
740,47
741,37
742,2
743,-26
744,-25
745,5
746,38
747,46
748,21
749,-15
750,-31
751,-13
752,24
753,47
754,37
755,2
756,-27
757,-25
758,5
759,38
760,46
761,20
762,-15
763,-31
764,-13
765,23
766,46
767,36
768,2
769,-27
770,-25
771,4
772,38
773,46
774,19
775,-15
776,-31
777,-12
778,24
779,48
780,37
781,1
782,-28
783,-26
784,6
785,38
786,46
787,21
788,-15
789,-31
790,-12
791,25
792,46
793,36
794,2
795,-26
796,-25
797,6
798,39
799,46
800,20
801,-16
802,-31
803,-12
804,24
805,46
806,36
807,1
808,-28
809,-26
810,6
811,39
812,46
813,20
814,-16
815,-31
816,-12
817,24
818,48
819,36
820,1
821,-28
822,-26
823,6
824,39
825,46
826,20
827,-17
828,-31
829,-13
830,24
831,47
832,36
833,1
834,-28
835,-25
836,6
837,39
838,46
839,20
840,-16
841,-31
842,-11
843,25
844,47
845,36
846,0
847,-29
848,-25
849,6
850,39
851,44
852,19
853,-17
854,-31
855,-11
856,26
857,48
858,35
859,0
860,-28
861,-26
862,6
863,40
864,45
865,19
866,-15
867,-30
868,-11
869,25
870,47
871,36
872,0
873,-27
874,-25
875,7
876,40
877,45
878,18
879,-17
880,-32
881,-11
882,25
883,47
884,35
885,0
886,-28
887,-25
888,6
889,40
890,45
891,18
892,-17
893,-31
894,-11
895,25
896,47
897,35
898,-1
899,-28
900,-24
901,7
902,40
903,46
904,19
905,-17
906,-31
907,-11
908,26
909,47
910,34
911,1
912,-29
913,-25
914,7
915,39
916,45
917,18
918,-17
919,-31
920,-11
921,26
922,47
923,35
924,0
925,-28
926,-25
927,8
928,41
929,44
930,19
931,-18
932,-30
933,-10
934,26
935,46
936,36
937,-1
938,-28
939,-24
940,8
941,40
942,45
943,19
944,-17
945,-30
946,-11
947,26
948,47
949,34
950,0
951,-28
952,-24
953,8
954,40
955,45
956,17
957,-18
958,-31
959,-10
960,25
961,46
962,34
963,-1
964,-28
965,-24
966,8
967,40
968,45
969,17
970,-18
971,-31
972,-11
973,26
974,47
975,34
976,0
977,-29
978,-23
979,8
980,41
981,45
982,17
983,-18
984,-31
985,-9
986,27
987,47
988,35
989,-1
990,-29
991,-23
992,8
993,41
994,45
995,17
996,-17
997,-31
998,-10
999,27
1000,48
1001,34
1002,-1
1003,-28
1004,-24
1005,9
1006,40
1007,44
1008,17
1009,-18
1010,-31
1011,-10
1012,27
1013,47
1014,34
1015,-1
1016,-29
1017,-23
1018,9
1019,40
1020,45
1021,18
