0,-3200
1,-4662
2,-5681
3,-6154
4,-6033
5,-5337
6,-4125
7,-2522
8,-675
9,1235
10,3021
11,4522
12,5579
13,6097
14,6026
15,5377
16,4206
17,2627
18,794
19,-1119
20,-2920
21,-4451
22,-5550
23,-6117
24,-6096
25,-5489
26,-4356
27,-2806
28,-991
29,919
30,2739
31,4297
32,5435
33,6047
34,6082
35,5523
36,4430
37,2907
38,1104
39,-804
40,-2643
41,-4223
42,-5396
43,-6060
44,-6137
45,-5628
46,-4571
47,-3089
48,-1298
49,608
50,2456
51,4070
52,5282
53,5990
54,6113
55,5655
56,4644
57,3185
58,1414
59,-488
60,-2348
61,-3987
62,-5239
63,-5994
64,-6169
65,-5753
66,-4782
67,-3360
68,-1606
69,295
70,2162
71,3823
72,5115
73,5913
74,6140
75,5768
76,4849
77,3447
78,1722
79,-174
80,-2056
81,-3741
82,-5068
83,-5907
84,-6183
85,-5857
86,-4977
87,-3615
88,-1908
89,-23
90,1863
91,3568
92,4934
93,5818
94,6137
95,5868
96,5032
97,3706
98,2022
99,144
100,-1752
101,-3478
102,-4880
103,-5805
104,-6174
105,-5950
106,-5163
107,-3872
108,-2210
109,-338
110,1557
111,3308
112,4740
113,5707
114,6126
115,5956
116,5212
117,3956
118,2320
119,456
120,-1448
121,-3215
122,-4675
123,-5685
124,-6158
125,-6031
126,-5326
127,-4115
128,-2505
129,-655
130,1252
131,3043
132,4529
133,5584
134,6104
135,6026
136,5367
137,4188
138,2609
139,774
140,-1135
141,-2935
142,-4463
143,-5560
144,-6119
145,-6093
146,-5482
147,-4343
148,-2787
149,-972
150,947
151,2760
152,4311
153,5448
154,6057
155,6072
156,5515
157,4416
158,2890
159,1089
160,-823
161,-2657
162,-4240
163,-5411
164,-6069
165,-6134
166,-5617
167,-4561
168,-3068
169,-1281
170,629
171,2476
172,4084
173,5292
174,5990
175,6113
176,5643
177,4628
178,3170
179,1399
180,-511
181,-2368
182,-4001
183,-5252
184,-5997
185,-6167
186,-5745
187,-4772
188,-3338
189,-1586
190,312
191,2183
192,3843
193,5130
194,5918
195,6138
196,5764
197,4835
198,3432
199,1705
200,-196
201,-2076
202,-3756
203,-5077
204,-5910
205,-6180
206,-5855
207,-4966
208,-3599
209,-1892
210,-4
211,1883
212,3590
213,4941
214,5827
215,6136
216,5866
217,5017
218,3691
219,2005
220,118
221,-1770
222,-3496
223,-4887
224,-5810
225,-6177
226,-5946
227,-5146
228,-3856
229,-2191
230,-319
231,1580
232,3329
233,4749
234,5716
235,6133
236,5948
237,5194
238,3941
239,2299
240,441
241,-1467
242,-3236
243,-4687
244,-5696
245,-6156
246,-6025
247,-5317
248,-4101
249,-2487
250,-634
251,1273
252,3057
253,4547
254,5591
255,6103
256,6023
257,5357
258,4174
259,2590
260,755
261,-1156
262,-2955
263,-4478
