0,532
1,-394
2,-982
3,-720
4,160
5,902
6,864
7,78
8,-776
9,-962
10,-318
11,600
12,998
13,534
14,-390
15,-982
16,-722
17,158
18,900
19,866
20,82
21,-774
22,-962
23,-320
24,596
25,998
26,536
27,-390
28,-980
29,-726
30,156
31,900
32,868
33,84
34,-772
35,-962
36,-324
37,594
38,998
39,538
40,-386
41,-980
42,-728
43,152
44,900
45,870
46,88
47,-770
48,-964
49,-328
50,592
51,998
52,542
53,-384
54,-978
55,-730
56,150
57,898
58,870
59,92
60,-768
61,-964
62,-330
63,590
64,998
65,546
66,-380
67,-978
68,-730
69,144
70,896
71,872
72,96
73,-768
74,-964
75,-332
76,588
77,998
78,546
79,-378
80,-978
81,-732
82,144
83,896
84,874
85,96
86,-764
87,-966
88,-336
89,584
90,998
91,548
92,-376
93,-976
94,-736
95,140
96,894
97,874
98,100
99,-762
100,-966
101,-338
102,582
103,998
104,552
105,-372
106,-976
107,-738
108,136
109,892
110,876
111,104
112,-760
113,-970
114,-342
115,580
116,998
117,556
118,-370
119,-974
120,-742
121,134
122,892
123,878
124,106
125,-758
126,-970
127,-344
128,578
129,998
130,558
131,-366
132,-974
133,-742
134,132
135,888
136,878
137,108
138,-756
139,-970
140,-346
141,574
142,998
143,558
144,-364
145,-974
146,-744
147,128
148,888
149,880
150,112
151,-754
152,-970
153,-350
154,572
155,998
156,562
157,-362
158,-974
159,-746
160,124
161,886
162,882
163,116
164,-752
165,-970
166,-352
167,570
168,998
169,566
170,-358
171,-974
172,-748
173,120
174,886
175,884
176,120
177,-750
178,-972
179,-354
180,568
181,1000
182,568
183,-354
184,-972
185,-752
186,118
187,884
188,886
189,122
190,-748
191,-974
192,-358
193,564
194,998
195,570
196,-354
197,-972
198,-754
199,116
200,882
201,886
202,124
203,-746
204,-974
205,-362
206,562
207,998
208,572
209,-350
210,-970
211,-756
212,112
213,882
214,888
215,128
216,-744
217,-974
218,-366
219,558
220,998
221,574
222,-346
223,-970
224,-756
225,108
226,880
227,888
228,132
229,-742
230,-974
231,-366
232,558
233,998
234,578
235,-342
236,-968
237,-758
238,108
239,878
240,890
241,132
242,-740
243,-976
244,-370
245,554
246,998
247,580
248,-342
249,-968
250,-760
251,102
252,876
253,892
254,136
255,-738
