idx,value
686,-518
687,214
688,852
689,1148
690,990
691,445
692,-282
693,-906
694,-1204
695,-1045
696,-505
697,215
698,836
699,1128
700,976
701,430
702,-269
703,-894
704,-1182
705,-1037
706,-499
707,206
708,819
709,1107
710,952
711,431
712,-265
713,-876
714,-1156
715,-1013
716,-485
717,198
718,800
719,1085
720,937
721,427
722,-261
723,-856
724,-1136
725,-994
726,-484
727,199
728,783
729,1060
730,913
731,413
732,-260
733,-837
734,-1116
735,-960
736,-470
737,185
738,765
739,1035
740,883
741,401
742,-252
743,-816
744,-1078
745,-942
746,-458
747,182
748,739
749,1009
750,866
751,396
752,-243
753,-792
754,-1056
755,-927
756,-445
757,178
758,722
759,978
760,848
761,380
762,-230
763,-782
764,-1034
765,-896
766,-434
767,174
768,701
769,953
770,821
771,369
772,-221
773,-765
774,-1003
775,-870
776,-430
777,175
778,681
779,915
780,797
781,356
782,-225
783,-727
784,-970
785,-850
786,-419
787,152
788,658
789,893
790,774
791,343
792,-217
793,-710
794,-936
795,-820
796,-402
797,148
798,634
799,869
800,751
801,332
802,-207
803,-692
804,-914
805,-798
806,-393
807,142
808,609
809,833
810,714
811,327
812,-203
813,-660
814,-883
815,-777
816,-379
817,138
818,584
819,807
820,696
821,312
822,-194
823,-641
824,-846
825,-741
826,-372
827,119
828,554
829,768
830,671
831,306
832,-193
833,-615
834,-818
835,-718
836,-360
837,117
838,537
839,738
840,641
841,291
842,-180
843,-584
844,-785
845,-694
846,-349
847,113
848,517
849,702
850,610
851,275
852,-171
853,-567
854,-752
855,-660
856,-332
857,107
858,489
859,672
860,585
861,263
862,-161
863,-537
864,-721
865,-632
866,-323
867,89
868,464
869,636
870,556
871,252
872,-160
873,-513
874,-686
875,-604
876,-313
877,90
878,444
879,604
880,533
881,238
882,-149
883,-491
884,-659
885,-587
886,-302
887,76
888,416
889,574
890,503
891,226
892,-141
893,-468
894,-617
895,-557
896,-291
897,75
898,390
899,547
900,476
901,221
902,-133
903,-450
904,-597
905,-531
906,-273
907,69
908,375
909,513
910,457
911,210
912,-133
913,-422
914,-568
915,-502
916,-264
917,63
918,345
919,490
920,429
921,193
922,-125
923,-402
924,-534
925,-481
926,-255
927,59
928,327
929,463
930,410
931,181
932,-117
933,-379
934,-514
935,-465
936,-242
937,53
938,304
939,431
940,385
941,173
942,-105
943,-358
944,-487
945,-439
946,-223
947,44
948,282
949,413
950,358
951,161
952,-106
953,-347
954,-458
955,-414
956,-225
957,45
958,272
959,393
960,345
961,150
962,-98
963,-336
964,-444
965,-392
966,-210
967,43
968,262
969,368
970,318
971,140
972,-95
973,-314
974,-427
975,-377
976,-196
977,36
978,241
979,350
980,302
981,131
982,-93
983,-295
984,-405
985,-361
986,-193
987,31
988,229
989,327
990,291
991,134
992,-95
993,-290
994,-390
995,-348
996,-189
997,30
998,223
999,314
1000,272
1001,112
1002,-84
1003,-283
1004,-368
1005,-331
1006,-180
1007,26
1008,201
1009,299
1010,257
1011,118
1012,-90
1013,-272
1014,-357
1015,-322
1016,-168
1017,23
1018,200
1019,280
1020,253
1021,109
1022,-80
1023,-251
1024,-349
1025,-305
1026,-171
1027,26
1028,194
1029,276
1030,235
1031,102
1032,-80
1033,-250
1034,-335
1035,-297
1036,-168
1037,24
1038,182
1039,263
1040,234
1041,102
1042,-80
1043,-247
1044,-319
1045,-286
1046,-155
1047,19
1048,176
1049,264
1050,226
1051,102
1052,-82
1053,-242
1054,-307
1055,-286
1056,-155
1057,19
1058,176
1059,260
1060,212
1061,93
1062,-86
1063,-236
1064,-309
1065,-279
