idx,value
0,-305
1,-46
2,-60
3,-94
4,-116
5,-127
6,-124
7,-87
8,-13
9,75
10,136
11,163
12,102
13,-13
14,-164
15,-283
16,-308
17,-247
18,-78
19,120
20,286
21,346
22,257
23,52
24,-202
25,-416
26,-498
27,-397
28,-159
29,151
30,413
31,508
32,416
33,142
34,-230
35,-520
36,-651
37,-552
38,-242
39,164
40,506
41,659
42,544
43,217
44,-233
45,-619
46,-781
47,-665
48,-305
49,176
50,594
51,774
52,646
53,263
54,-249
55,-689
56,-875
57,-740
58,-334
59,201
60,654
61,838
62,706
63,279
64,-270
65,-730
66,-926
67,-787
68,-346
69,225
70,687
71,897
72,741
73,290
74,-283
75,-769
76,-969
77,-812
78,-346
79,232
80,707
81,913
82,761
83,293
84,-287
85,-778
86,-975
87,-814
88,-359
89,223
90,708
91,903
92,746
93,293
94,-284
95,-760
96,-958
97,-795
98,-355
99,208
100,678
101,875
102,718
103,282
104,-255
105,-713
106,-903
107,-761
108,-340
109,179
110,618
111,800
112,670
113,261
114,-232
115,-648
116,-820
117,-698
118,-323
119,147
120,535
121,715
122,589
123,247
124,-202
125,-558
126,-723
127,-619
128,-301
129,108
130,445
131,596
132,509
133,225
134,-144
135,-458
136,-587
137,-519
138,-261
139,55
140,318
141,448
142,391
143,191
144,-82
145,-313
146,-434
147,-387
148,-224
149,0
150,180
151,270
152,249
153,127
154,-26
155,-164
156,-229
157,-227
158,-158
159,-54
160,27
161,78
162,87
163,54
164,23
165,2
166,-32
167,-51
168,-88
169,-118
170,-126
171,-124
172,-95
173,-13
174,86
175,160
176,180
177,111
178,-10
179,-168
180,-304
181,-348
182,-272
183,-90
184,143
185,335
186,412
187,304
188,64
189,-241
190,-489
191,-582
192,-465
193,-163
194,214
195,525
196,640
197,500
198,140
199,-315
200,-691
201,-825
202,-656
203,-242
204,282
205,714
206,890
207,702
208,223
209,-380
210,-882
211,-1067
212,-870
213,-331
214,347
215,916
216,1133
217,911
218,312
219,-447
220,-1078
221,-1315
222,-1088
223,-433
224,405
225,1091
226,1369
227,1130
228,421
229,-476
230,-1234
231,-1553
232,-1308
233,-555
234,409
235,1234
236,1601
237,1360
238,554
239,-482
240,-1371
241,-1778
242,-1531
243,-682
244,432
245,1391
246,1831
247,1564
248,660
249,-516
250,-1531
251,-1993
252,-1712
253,-771
254,480
255,1547
256,2042
257,1737
258,735
259,-580
260,-1699
261,-2193
262,-1860
263,-821
264,559
265,1715
266,2227
267,1873
268,761
269,-651
270,-1867
271,-2378
272,-2004
273,-854
274,626
275,1861
276,2390
277,1995
278,817
279,-705
280,-1998
281,-2535
282,-2124
283,-903
284,673
285,1986
286,2542
287,2122
288,867
289,-746
290,-2106
291,-2677
292,-2251
293,-952
294,698
295,2080
296,2668
297,2235
298,918
299,-776
300,-2192
301,-2790
302,-2342
303,-1003
304,723
305,2163
306,2774
307,2313
308,945
309,-804
310,-2260
311,-2877
312,-2414
313,-1027
314,736
315,2209
316,2835
317,2374
318,991
319,-791
320,-2280
321,-2918
322,-2478
323,-1084
324,706
325,2217
326,2870
327,2431
328,1052
329,-740
330,-2254
331,-2933
332,-2515
333,-1146
334,647
335,2172
336,2861
337,2474
338,1108
339,-676
340,-2209
341,-2917
342,-2526
343,-1188
344,594
345,2131
346,2841
347,2461
348,1137
349,-642
350,-2167
351,-2885
352,-2505
353,-1184
354,574
355,2087
356,2791
357,2412
358,1095
359,-639
360,-2136
361,-2813
362,-2432
363,-1134
364,585
365,2057
366,2717
367,2321
368,1028
369,-644
370,-2092
371,-2733
372,-2335
373,-1053
374,598
375,2000
376,2615
377,2224
378,965
379,-652
380,-2018
381,-2621
382,-2227
383,-1005
384,567
385,1903
386,2489
387,2107
388,914
389,-628
390,-1916
391,-2477
392,-2106
393,-949
394,536
395,1786
396,2328
397,1971
398,853
399,-582
400,-1783
401,-2307
402,-1954
403,-884
404,494
405,1645
406,2144
407,1816
408,776
409,-534
410,-1640
411,-2120
412,-1791
413,-816
414,442
415,1492
416,1936
417,1649
418,718
419,-481
420,-1472
421,-1914
422,-1632
423,-759
424,378
425,1323
426,1749
427,1496
428,673
429,-390
430,-1296
431,-1697
432,-1481
433,-716
434,286
435,1132
436,1522
437,1319
438,619
439,-307
440,-1093
441,-1469
442,-1299
443,-654
444,204
445,945
446,1287
447,1129
448,541
449,-223
450,-905
451,-1218
452,-1088
453,-565
454,141
455,748
456,1038
457,917
458,439
459,-185
460,-718
461,-972
462,-857
463,-453
464,94
465,559
466,785
467,689
468,336
469,-133
470,-536
471,-725
472,-652
473,-353
474,47
475,383
476,547
477,487
478,235
479,-87
480,-358
481,-494
482,-450
483,-260
484,-8
485,204
486,312
487,286
488,154
489,-27
490,-187
491,-270
492,-255
493,-174
494,-66
495,34
496,89
497,102
498,63
499,23
500,-15
501,-44
502,-67
503,-97
504,-116
505,-127
506,-124
507,-87
508,-16
509,64
510,138
511,161
512,103
513,-14
514,-164
515,-283
516,-308
517,-247
518,-78
519,119
520,287
521,345
522,261
523,53
524,-203
525,-416
526,-497
527,-399
528,-162
529,148
530,411
531,508
532,415
533,142
534,-226
535,-521
536,-650
537,-549
538,-242
539,161
540,503
541,657
542,542
543,219
544,-234
545,-614
