idx,value
0,-33
1,-236
2,-243
3,-165
4,-58
5,49
6,114
7,116
8,81
9,4
10,-77
11,-122
12,-128
13,-113
14,-73
15,-22
16,12
17,18
18,16
19,5
20,-3
21,-26
22,-35
23,-45
24,-57
25,-61
26,-62
27,-58
28,-43
29,-15
30,16
31,16
32,18
33,-3
34,-39
35,-64
36,-92
37,-94
38,-58
39,-39
40,-12
41,3
42,0
43,1
44,1
45,-1
46,-26
47,-33
48,-45
49,-61
50,-91
51,-97
52,-80
53,-37
54,13
55,66
56,91
57,69
58,9
59,-81
60,-165
61,-207
62,-194
63,-108
64,25
65,130
66,194
67,170
68,69
69,26
70,-137
71,-276
72,-332
73,-284
74,-124
75,55
76,220
77,285
78,248
79,99
80,-100
81,-269
82,-363
83,-330
84,-190
85,18
86,197
87,289
88,269
89,133
90,-60
91,-237
92,-338
93,-322
94,-196
95,-20
96,136
97,233
98,220
99,122
100,-25
101,-165
102,-246
103,-244
104,-160
105,-51
106,66
107,119
108,122
109,78
110,6
111,-81
112,-127
113,-126
114,-109
115,-65
116,-23
117,12
118,18
119,15
120,1
121,-1
122,-27
123,-31
124,-43
125,-49
126,-62
127,-62
128,-61
129,-46
130,-14
131,14
132,30
133,23
134,3
135,-34
136,-62
137,-92
138,-94
139,-61
140,-46
141,-10
142,2
143,11
144,2
145,0
146,0
147,-27
148,-33
149,-45
150,-61
151,-91
152,-97
153,-80
154,-36
155,13
156,65
157,98
158,71
159,8
160,-79
161,-176
162,-208
163,-197
164,-102
165,23
166,148
167,200
168,182
169,77
170,-87
171,-235
172,-308
173,-286
174,-171
175,11
176,184
177,283
178,253
179,130
180,-69
181,-249
182,-359
183,-341
184,-209
185,-9
186,187
187,288
188,275
189,156
190,-36
191,-215
192,-327
193,-324
194,-212
195,-37
196,129
197,231
198,232
199,136
200,-8
201,-158
202,-241
203,-254
204,-177
205,-52
206,52
207,117
208,128
209,81
210,7
211,-82
212,-127
213,-128
214,-112
215,-65
216,-24
217,13
218,17
219,17
220,5
221,-3
222,-26
223,-35
224,-44
225,-53
226,-62
227,-61
228,-59
229,-42
230,-16
231,17
232,15
233,21
234,-1
235,-40
236,-63
237,-92
238,-94
239,-59
240,-39
241,-12
242,3
243,0
244,1
245,1
246,-1
247,-26
248,-33
249,-45
250,-61
251,-91
252,-97
253,-80
254,-36
255,13
256,66
257,94
258,69
259,8
260,-80
261,-176
262,-209
263,-196
264,-106
265,21
266,149
267,200
268,183
269,77
